,Account group,City,Country,Data line,District,Fax,House number and street,Language,Name 1,Name 2,Name 3,Name 4,Other city,PO Box,PO Box postal code,Postal Code,Region,Search Term 1,Search Term 2,Tax jurisdiction,Telebox,Telephone,Title,Transportation zone,Vendor,Quantity of Milk Purchased (L),Production Volume (L),Inventory Level (kg),Number of Suppliers,Production Efficiency (%),Delivery Time (days),Demand Forecast Accuracy (%),Wastage Rate (%),Supplier Performance Score,Distribution Costs (currency)
10,5979.0,North Christian,Equatorial Guinea,4.0,,001-723-748-7722,,German,,Grant,Catherine,Nelson,,9400.0,90472.0,7462.0,Wyoming,food,stop,7143.0,6415.0,001-621-790-0575x07500,,1.0,Medina and Sons,6573.0,6827.0,2202.0,18.0,82.84683957820405,1.0129812644069172,88.05230153274778,3.8787226755436968,98.87552395480458,4047.8487962082586
11,5492.0,Port Deanfort,Austria,,New Jersey,275.455.7827x52351,,English,David,Clay,Hannah,,North Jenniferland,1038.0,57361.0,,,before,health,2336.0,5081.0,,Dr.,,Camacho LLC,5889.0,18789.0,3617.0,11.0,82.75110683389343,4.050043200300605,83.48447575299065,,81.2141468878071,1002.2875845117741
12,7131.0,,Switzerland,8.0,Illinois,001-042-900-7819x50926,28707 Linda Ridges,German,Billy,Wang,Randy,Foster,Hollyberg,,17273.0,6698.0,Texas,,top,4127.0,7068.0,001-629-382-5983,Mrs.,4.0,"Burton, Hogan and Tran",1319.0,,,16.0,95.81699380081731,4.326662117444718,,,,
13,,East Brendahaven,Nauru,9.0,Iowa,+1-476-533-9479x484,6338 Ryan Walks,,Julie,Malone,Edwin,,Ericaside,5043.0,,8289.0,New Hampshire,spend,computer,,5633.0,692.415.6541,,5.0,,,18369.0,,,,2.9011295123949252,83.7450898373736,2.0602265157602364,94.8973216434103,2692.551760803548
14,3261.0,Johnsontown,Solomon Islands,10.0,Louisiana,,5090 Christopher Avenue Apt. 333,French,Ashley,Carlson,Maria,Cantu,West Pamela,,,8355.0,Idaho,test,night,2248.0,,371-275-2328x9691,,4.0,Smith Ltd,4295.0,16680.0,2276.0,17.0,,3.599512230557814,80.9525020978626,3.0703033641423625,64.84016783473064,1898.7893481262295
15,,East Erica,Kyrgyz Republic,4.0,Tennessee,3274108696,3674 Brennan Center Suite 151,German,Traci,Black,Kari,,West Anthonytown,9310.0,27736.0,2081.0,,bill,area,5584.0,3965.0,(703)373-8740x88807,Mr.,2.0,,4770.0,14641.0,1902.0,5.0,81.27787554816258,3.5244118290803956,,4.621680052024512,94.38541601014987,1283.4293995546138
16,6854.0,North Margaret,,10.0,Kentucky,819.372.4197x0641,6983 Watson Inlet,,,Williamson,Glen,Rodriguez,South Kristen,3263.0,31827.0,5136.0,Maryland,eat,reduce,9411.0,2136.0,(531)885-5078,Mrs.,10.0,Osborne-Thompson,,,3208.0,9.0,93.02034618585748,4.52953230056295,84.4052912430225,1.971988969582898,78.91891771778376,2628.2398459437463
17,7798.0,Fritzchester,Venezuela,10.0,Minnesota,0473995056,783 Rachel Ramp,English,Erica,,Kelly,Wallace,West Jeremyport,6060.0,89358.0,,New Mexico,another,wife,6313.0,3944.0,+1-934-273-9310x1220,Mr.,9.0,,,10804.0,2734.0,18.0,88.40644402466015,3.9163033978394024,86.83411368233254,4.936660845463864,63.93671484607835,
18,2108.0,East Zacharyberg,,,Virginia,692.634.9465x9155,53566 Ross Islands Suite 583,German,Larry,,Brandi,Cruz,Alexisborough,5039.0,,9059.0,Alabama,,agreement,2143.0,,2618958167,Mr.,9.0,Copeland and Sons,5073.0,8139.0,1779.0,,82.52328134770595,1.733952143148933,81.56570171002419,4.497943816282319,63.015395534971574,4232.08897892681
19,,Port Misty,Denmark,,New York,882-093-0681x5236,98169 Megan Islands,,David,,,,East Brianfurt,,36429.0,,Vermont,government,argue,2554.0,7698.0,,,10.0,"Bernard, Bowman and Alvarez",,18697.0,1060.0,7.0,96.6746056941463,,74.15777776509785,,,2604.1611701978104
20,8184.0,Hessmouth,Saint Vincent and the Grenadines,3.0,Florida,,1698 Thomas Falls Suite 120,English,,Gibbs,Darrell,Carter,Jessicaland,,75408.0,7747.0,Delaware,high,walk,5412.0,1104.0,001-302-248-3644,Mr.,6.0,Mason-Williams,7209.0,,2599.0,13.0,,4.140517427176486,77.13123072367301,3.78636601440065,,4133.446113937149
21,8922.0,Richardsonburgh,,1.0,Massachusetts,799-572-6441x226,0862 Crystal Ramp Apt. 096,Spanish,James,Baker,,Smith,North Jessica,6523.0,,3546.0,Connecticut,gun,though,,,(415)628-8776x5523,Mr.,7.0,Taylor Inc,4111.0,9861.0,1891.0,,90.42524523469261,3.168780805497097,,1.2286610916299323,83.36710377835885,3011.401531678054
22,5119.0,,Palau,4.0,Montana,012-790-6065,,French,Nancy,Torres,Thomas,Rodriguez,Perezhaven,8538.0,33220.0,7583.0,Iowa,interesting,image,3922.0,4121.0,,,3.0,Gardner Group,,6312.0,4487.0,,81.23338398866827,1.271843453503029,91.54548004925323,,97.66384508916357,3278.7016405527397
23,2906.0,Ramoston,Cuba,1.0,Tennessee,587.891.3957x205,865 Hill Fords,,Becky,,,Vaughan,,,41838.0,1112.0,Pennsylvania,,reduce,,9189.0,390-652-2054x8905,Dr.,3.0,Carlson-Murray,2343.0,11868.0,3692.0,15.0,96.8247126392557,1.8170367976941457,87.90479501973537,1.954743810463384,75.83143387165018,3686.760891839885
24,8759.0,North Karamouth,,1.0,Michigan,(744)076-5392x6593,4824 Mcdonald Run,German,,Stuart,Margaret,Wiley,Ashleybury,9849.0,71575.0,8571.0,Nebraska,set,law,7688.0,,+1-905-041-1253x057,Mrs.,5.0,,,17318.0,4832.0,7.0,80.16767822391644,3.4846370219723712,,1.399924995698354,81.5053761640651,3023.5387761950615
25,,Diazshire,Belgium,,South Dakota,257-842-2913x68320,016 Melissa Station Apt. 338,French,Michelle,Willis,Gabrielle,Burnett,East Lucas,6820.0,31314.0,,Maryland,energy,,8279.0,,+1-638-814-0793x13902,Mrs.,5.0,Randolph-Harper,2127.0,19405.0,2000.0,16.0,85.12977304189982,2.7527382920308394,83.58044905653966,2.2100685719155595,99.3541324100593,4228.39977306057
26,8266.0,Melissastad,,9.0,Arkansas,160.046.7825x014,70978 Sexton Course,English,Timothy,,Ralph,Tate,Torreston,1582.0,63566.0,8922.0,,success,,5720.0,2628.0,+1-930-406-7378x67153,Dr.,,Fuller-Weeks,5905.0,15868.0,1424.0,9.0,84.7603865867683,,88.56041709952497,1.6217916390999618,71.27025085831578,1842.5186192277724
27,,,Zimbabwe,,New Hampshire,001-971-280-9606x45937,38876 Jackson Trace Apt. 380,,,Nguyen,,Bonilla,Jonesbury,4565.0,24943.0,5962.0,,hair,each,3868.0,5794.0,566-914-2527x6940,Mr.,5.0,Perez and Sons,5325.0,13280.0,,13.0,,4.384414853179422,72.30746169281834,,71.06720895889006,1014.1827563511292
28,9087.0,Reeseside,Gabon,,Wyoming,(633)890-7315x2431,8055 Tiffany Mills Apt. 829,,Kyle,Morales,Andrew,Harper,,1290.0,42096.0,3900.0,Montana,into,still,4764.0,4279.0,+1-230-118-3662x59533,,,"Sanders, Beasley and Stevens",5291.0,,4036.0,,89.93024758027505,2.7107476759227174,70.2417424902085,1.3009754402950682,95.32425573200572,4615.714286239572
29,8096.0,North Billyfort,Benin,10.0,,+1-887-213-0584x512,,English,Sandra,Page,Adam,,Lake Nancy,4733.0,58286.0,4638.0,Nebraska,eye,last,,4229.0,+1-244-110-9147x821,Mrs.,,Lee and Sons,3426.0,12041.0,1522.0,6.0,85.5486502987424,,89.90305762220105,4.4428103280036115,95.95698546105899,1840.3061533590162
30,,West Dustin,Niger,7.0,,+1-063-798-7532x20141,62058 Lee Meadow,French,Shawna,Gray,Christopher,Guerrero,Callahanchester,,77428.0,1038.0,Oregon,five,ago,2708.0,1833.0,001-160-911-3096x3928,Dr.,8.0,"Serrano, Phillips and Brown",,10794.0,4195.0,,97.5290664074712,,,1.9469493289174347,,4199.548119627587
31,6204.0,,,7.0,,001-563-170-5968x316,1315 Calderon Springs Suite 175,,Dana,Miller,Jeffrey,Osborne,New Amber,4969.0,,3880.0,Indiana,,wait,5960.0,,330.986.1089,Mrs.,2.0,Terry-Nelson,1406.0,7938.0,4016.0,15.0,94.08295693065737,2.6468526662062146,86.74767823220492,3.9402301553115042,69.92668964469603,
32,8933.0,,,4.0,Missouri,001-744-555-1752x2286,48894 Michele Groves,English,Patricia,Williams,Carlos,Molina,New Thomasland,8345.0,83259.0,,Michigan,although,,6161.0,,,Mrs.,2.0,"Miller, Davis and Everett",,19067.0,,12.0,83.59231094046353,4.673807604917981,,4.282145523886248,94.85292143452033,1891.694188823236
33,5670.0,Adamhaven,Grenada,4.0,Washington,593-591-2571x9634,77493 Johnson Trail Suite 204,French,Jason,Mitchell,Kathy,Bridges,Kingmouth,4724.0,,1236.0,Rhode Island,,,,4127.0,002.644.5606,Mrs.,,"Bell, Bryant and Lee",6378.0,9564.0,4540.0,,97.4040038728705,2.1164999708874856,86.03704346519069,,,3144.8629299148874
34,9507.0,,Mali,10.0,,(992)665-0601x14193,29965 Brian Avenue,English,,Leon,Justin,Perez,,8138.0,82642.0,1040.0,Arkansas,next,interesting,8236.0,4603.0,004.521.5087,Mr.,1.0,"Osborne, Smith and Zavala",5279.0,,3378.0,13.0,80.68862955235873,3.3862850199509786,,4.145712712814728,77.45575535482432,4936.943397266359
35,9681.0,Melissaside,Guam,5.0,Connecticut,001-265-883-3456,07209 Bell Harbor Suite 628,English,Shawn,Gilbert,Nathaniel,Wilson,North Jenniferside,3006.0,23451.0,6543.0,Utah,,main,3764.0,4908.0,801-322-3880,Mrs.,,Hernandez and Sons,,9173.0,1181.0,,80.03044300793533,,83.4612999273198,3.877719996579382,89.67800311357905,
36,7988.0,Edwardsview,United Kingdom,9.0,Massachusetts,,169 Patrick Center Suite 084,German,William,Rivera,Jerry,Silva,West Rhonda,1598.0,37281.0,7313.0,Oklahoma,century,professor,7315.0,2579.0,,Mrs.,9.0,Scott Inc,,15882.0,4771.0,15.0,,3.653549905062177,73.1156328916092,4.6001873403883655,80.28490016141077,
37,5149.0,,Equatorial Guinea,8.0,California,270.532.1489,8798 Jason Valley,German,,Miller,,Taylor,Port Holly,6232.0,84059.0,3410.0,Montana,,pull,,2015.0,7624860417,Mrs.,10.0,"Smith, West and Walter",5844.0,14083.0,,,87.56803400791235,4.761454682920732,86.93294863181832,4.61122218293033,84.62059663805522,2203.7994982622613
38,,Ramirezville,Australia,10.0,New York,401.630.1772,59171 Lee Port Apt. 289,English,Caroline,Hill,Kyle,,West Jamesbury,1465.0,34869.0,,Oregon,present,source,8793.0,2226.0,,Mrs.,10.0,,5700.0,,2760.0,,88.36978742444626,,75.34253502472751,2.892744743637305,96.04723303313017,4184.099040507121
39,9745.0,Davilamouth,Indonesia,,South Carolina,899-326-8344x075,929 Jesse Loaf,French,Johnathan,Williams,Taylor,Smith,South Corey,4249.0,61595.0,1979.0,California,,knowledge,2604.0,4792.0,,Dr.,7.0,"Pittman, Clements and Wilson",2389.0,9649.0,3111.0,15.0,81.68096960136013,4.807998649809901,75.8717149631671,2.241677857179661,,
40,,North Melissa,Togo,10.0,Tennessee,327.625.7829x8995,23621 Jacobs Glens,English,Trevor,Sanders,Paul,,North Luistown,,63357.0,6925.0,Alabama,nearly,dark,2246.0,2154.0,001-402-435-8362,Mr.,,Walton Group,8784.0,15015.0,4480.0,7.0,,4.5445476362039265,84.39177248523295,3.8733836619959545,75.35913869571006,2598.611451506151
41,8269.0,New James,Cape Verde,3.0,Arizona,373-361-1482,,French,Ashley,Ferguson,,Jones,,,,8958.0,Louisiana,fall,onto,6598.0,2842.0,(931)974-3290x968,Dr.,5.0,Norris Group,,19625.0,4075.0,,94.01156732181185,1.8753645472492777,90.10274640432857,3.7836471056329533,,3229.623176133581
42,6553.0,Carmenborough,Iceland,,Iowa,253.507.8797x4591,,English,Brandi,Johnson,Seth,Thomas,North Michelehaven,8819.0,82674.0,8181.0,Louisiana,behind,animal,3760.0,,(698)586-2555,Mrs.,,"Gomez, Davis and Vazquez",3184.0,18130.0,2903.0,15.0,97.1007129519768,4.5657037032417485,85.31630806904407,,,
43,7524.0,Jordanport,Papua New Guinea,4.0,Illinois,470-144-1856,260 Brown Stravenue Suite 088,Spanish,Michael,,,Robinson,North Emilyville,4707.0,61368.0,5797.0,New Hampshire,blue,control,,8037.0,083-374-5753x369,Mr.,10.0,Adkins-Phillips,8777.0,,2061.0,12.0,95.11753198115457,2.109245412522962,89.4418708833493,2.9383880682810672,69.56983455258532,2759.4903730596106
44,4706.0,North Deborah,,10.0,,867-129-2146x976,,German,,Wells,Zachary,Porter,Jimmyview,4458.0,27525.0,,Massachusetts,,young,6588.0,6062.0,4524798854,Mr.,1.0,West Inc,,10502.0,2309.0,7.0,82.49073310729081,1.9250459189127471,87.3487453074763,3.825676566778209,62.569154028555126,2630.3974786663466
45,3010.0,Phillipsville,Honduras,,Delaware,,25601 Krystal Mountains Apt. 840,Spanish,Luis,Carson,,Johnson,Katieville,1317.0,74566.0,9939.0,Oregon,success,marriage,5957.0,6732.0,+1-745-439-1292x25718,,8.0,Brooks Inc,,8388.0,,18.0,87.01058262800494,4.0791830892586525,93.65155083975252,1.0781278269509085,95.22626691031294,3302.761387240321
46,8817.0,,Puerto Rico,9.0,Ohio,554-289-7309x22198,658 Jennifer Common Suite 429,,,Cooper,Tonya,Morgan,Garciashire,6266.0,92899.0,9666.0,,allow,model,,3620.0,076-339-1698x01663,Mr.,5.0,"Williams, Wright and Meyer",6763.0,9892.0,,17.0,,4.813721353880425,80.47553206574554,3.990062675912203,81.84529238935356,3413.0103557649654
47,,Lake Michael,San Marino,,Washington,001-370-379-4936,4710 Katherine Points,French,Austin,Miller,,,Port Johntown,5544.0,81629.0,6992.0,Missouri,four,professional,4805.0,,001-527-896-9482x40082,Mrs.,2.0,Wu PLC,4595.0,9471.0,,20.0,80.52244675904088,2.3445181747935298,86.97854712570874,2.6172666765505483,,2869.5605969292405
48,4491.0,Lake Jennifer,Kiribati,8.0,,954.289.2057x06375,,French,Allison,Thompson,Amy,Ramirez,South Troy,4331.0,18862.0,6358.0,Montana,walk,about,3566.0,4159.0,(653)642-5232,Dr.,1.0,"Butler, Hicks and Chavez",9751.0,5441.0,4714.0,17.0,90.6540699613024,3.651999027344645,72.09868655405,2.7144510786443794,94.6740542238052,
49,5522.0,Reevesville,Bosnia and Herzegovina,3.0,Oregon,115.369.1650,63606 Bennett Land Suite 189,German,Leonard,Sexton,Tiffany,Schmidt,North Phillip,7171.0,55078.0,7303.0,Rhode Island,economy,performance,,4256.0,489.006.2756,Mrs.,7.0,"Spears, Thompson and Deleon",,8467.0,2862.0,15.0,86.07500986532968,4.518559944007581,76.95641539097015,4.8048164794422465,76.86259307034955,4339.6436596484855
50,,Lake Tarashire,Belarus,1.0,New York,024.336.9616x06267,790 Fox Inlet,Spanish,,Chang,Kathleen,Barker,Marshtown,,,7809.0,Kentucky,southern,,9913.0,,+1-777-857-3722x932,Mr.,6.0,Miller and Sons,9837.0,5853.0,4899.0,16.0,84.03599898295546,1.2744734818110777,93.9321400694092,,,1989.133214931508
51,4044.0,,Uzbekistan,,,827.511.4886x148,3665 David Highway,,Victoria,Miller,Allison,Mcbride,Lanefurt,4500.0,,1448.0,North Carolina,effect,beat,9335.0,1066.0,+1-109-571-7400x21087,Dr.,9.0,Evans Inc,3496.0,8908.0,1517.0,20.0,92.05025920315839,3.2558783277200765,,,90.67592393424962,1671.156573471209
52,3650.0,New Theresamouth,Macedonia,5.0,West Virginia,001-936-334-5128x702,90339 Betty Wall Apt. 980,,Mia,,Cathy,Cook,North Allison,5942.0,12587.0,5506.0,Maine,take,,,3440.0,979.206.5719,Mr.,9.0,"Olson, Hill and Weber",6096.0,6771.0,,5.0,96.71996903132819,3.3031869136496566,92.70065377618612,,97.65882394165239,1793.3191083668612
53,8791.0,Riggsbury,Cape Verde,5.0,Wisconsin,,87831 Mcmillan Parkways Apt. 599,French,Joseph,,,Miller,Mcgrathside,2961.0,95932.0,5290.0,Louisiana,,history,1736.0,9705.0,413.890.4231,Mr.,7.0,"Estrada, Watson and Vasquez",5941.0,18931.0,3802.0,8.0,94.33208989880382,3.2637302214692636,,3.130980981242001,,1275.826946078562
54,,,Bhutan,5.0,,2143460412,5935 Butler Lodge Apt. 585,German,John,Hall,Jason,Harvey,New Deniseside,6564.0,46211.0,7601.0,Michigan,mother,,5527.0,4972.0,001-631-933-4003,Mr.,2.0,"Ramirez, Peterson and Ayers",7882.0,,3007.0,8.0,87.80342122386527,,,2.838957390406985,66.1196459637544,1704.5478443442375
55,7457.0,Lake Michael,Greece,1.0,Indiana,+1-705-903-5775,312 Jacob Forks Suite 478,German,Stephanie,Rivera,,Martin,Ryanport,9869.0,50599.0,9612.0,Arizona,street,deal,5205.0,4356.0,(053)892-7678,Dr.,7.0,"Green, Parks and Boone",9817.0,17691.0,2980.0,,87.8403408740701,3.924104857220489,76.70988845123064,,93.22924075562413,1346.6515922226977
56,4032.0,Stevenbury,Azerbaijan,7.0,Ohio,,018 Reeves Common,Spanish,Lawrence,,Tracey,Mitchell,Lambertside,7713.0,,1753.0,New York,small,fall,,4911.0,(834)937-9278,Mr.,5.0,"Whitehead, Ingram and Wright",8613.0,,3499.0,17.0,86.05513915804475,2.977226014463688,78.12535419721898,2.9501997295653775,74.19299864704381,2033.4096354347123
57,8797.0,New Nicholefort,Netherlands Antilles,3.0,,023.548.6962x31535,,German,Thomas,Torres,Megan,Todd,North James,1538.0,,,,,white,2528.0,,160-005-7056x19885,Dr.,5.0,"Gonzalez, Richards and Santiago",5526.0,14106.0,,11.0,,3.880298656416777,82.21444617121969,4.032658613929866,87.62437357786092,
58,,Russellchester,Brunei Darussalam,,Arizona,,525 Dickerson Highway,Spanish,Blake,,Nicole,Nicholson,Coxside,3942.0,26896.0,5082.0,Wyoming,one,fact,3375.0,1814.0,159-149-6478x36541,Mrs.,4.0,Bates-Bowers,1282.0,6524.0,2205.0,12.0,87.27922031620271,1.9732206555070286,86.5990005399204,2.476081802644148,82.13891820040999,2375.0295765848105
59,9910.0,Lesterland,Costa Rica,4.0,Florida,858.497.0388,58226 Stevens Haven,German,Stacy,,Samuel,Wilson,Kimberlyland,2658.0,,7678.0,Minnesota,,story,3513.0,2002.0,,Mrs.,9.0,Wheeler LLC,8434.0,9438.0,,13.0,,3.8851373253042785,77.88869860014967,3.971524254556416,98.03510241573738,3760.6542165622063
60,,North Robertberg,Gabon,,Maine,8321244391,02166 Farrell Green,French,,,Daniel,King,,9392.0,29426.0,7889.0,Nevada,party,finally,,7027.0,675.905.9805,Mr.,2.0,Wallace Inc,8933.0,9530.0,,14.0,97.64919134832523,,77.40616158162861,2.443524276597546,72.09070355121742,
61,9008.0,Allenview,Montenegro,3.0,Nebraska,467-194-8216x887,321 Russell Locks Suite 848,,,,Louis,Smith,,9113.0,39295.0,9651.0,Massachusetts,,,9167.0,4369.0,001-008-811-5393x8016,Mrs.,1.0,"Higgins, Clark and Pineda",1745.0,5893.0,,14.0,92.5535130723835,1.5051179718336356,91.71152993157361,2.9635147780951154,94.90878939994138,
62,8422.0,,Egypt,,,604.248.6265,82698 Ford Shore,Spanish,Michael,Garcia,Andrew,Cannon,East Kevin,4318.0,18973.0,7587.0,Connecticut,former,himself,7412.0,,+1-658-210-1419x586,Mrs.,2.0,Torres Ltd,,,1755.0,6.0,,,72.85217851812311,1.26137374045573,79.66986241164273,3308.0846258832726
63,2030.0,North Julieville,Spain,,Louisiana,,654 Mariah Dale Apt. 697,,,Richards,Mark,Herrera,Torresfurt,3728.0,42657.0,5461.0,,attorney,stock,9186.0,6235.0,(639)763-0881x4093,Mr.,,"Bridges, Johnson and Marquez",3444.0,18289.0,3305.0,14.0,81.53325635113214,1.9927638208404646,83.95182586544071,,83.84507381640101,
64,4034.0,Farleybury,Iran,10.0,Virginia,,48928 Paul Lane Apt. 574,Spanish,Raymond,,Robin,Warner,Sextonmouth,,,1170.0,Idaho,allow,successful,9429.0,6836.0,,Mrs.,,"Avila, White and Rojas",8253.0,9871.0,,18.0,85.49684439774849,,85.24077280612826,3.96035722193818,,1831.1516232942054
65,1856.0,,Guernsey,,South Dakota,(034)170-2202x8817,0544 Villarreal Pines,,Carolyn,Gonzalez,,Dunn,North Bryanmouth,5093.0,67891.0,1408.0,,impact,head,6618.0,4436.0,444-147-7427x8606,Mrs.,,Johnston PLC,2330.0,7573.0,1982.0,10.0,,1.6261304617725525,80.21293931650067,3.7574845431390758,78.79649916030743,
66,5086.0,Leebury,Bosnia and Herzegovina,4.0,Texas,,,,Sherry,Taylor,Sarah,Lee,,5619.0,74585.0,3313.0,Missouri,often,more,3765.0,7572.0,,Dr.,6.0,Duncan-Young,5632.0,16517.0,4520.0,19.0,81.28123568276263,1.9336952246401022,76.61386564147249,4.164990980179846,83.59158356821031,
67,4250.0,,,1.0,Nevada,(603)428-2053,7580 Joseph Lake,,Paul,Valdez,Christine,Newman,West Barbara,7177.0,33025.0,,,through,,3149.0,3859.0,(970)529-1175,Mrs.,,Shaw-Hamilton,2880.0,13922.0,1920.0,9.0,96.3514060138269,4.306524638600239,71.78524592139536,1.6636911568828987,72.3044725045693,3995.830888278493
68,4169.0,Port Nicole,Japan,2.0,Vermont,9517692819,860 Marcus Trail Apt. 082,German,Alexis,Hinton,Danielle,Gilbert,New Jessica,2310.0,32465.0,6621.0,Nebraska,scene,themselves,1306.0,2016.0,001-837-144-1056x74954,Mrs.,10.0,"Carr, Riddle and Martinez",3037.0,12679.0,,,92.59520632956291,4.770704962976163,,2.975180877380337,63.21767407597204,1159.4431367344523
69,8167.0,,Solomon Islands,7.0,Montana,,1245 Ricky Lodge,Spanish,Sarah,Rivers,,Torres,New Megan,4742.0,37289.0,,North Carolina,management,of,6566.0,,,,10.0,Snyder-Cummings,6280.0,14891.0,2025.0,5.0,81.64388395935774,4.847644408771346,90.89896534765452,,98.0314511122541,4998.289667509805
70,9895.0,Lake Tonyland,Georgia,,Nevada,+1-307-831-8536,8436 Julie Fork Apt. 691,,Carolyn,,Mary,Cook,,8785.0,,6642.0,Arkansas,,,,9505.0,,Dr.,,"Villanueva, Quinn and Williams",,17502.0,4097.0,10.0,,3.6060379577347454,,1.7259565888925037,83.41318501111417,3539.1388778163473
71,4040.0,Dawsonhaven,Uzbekistan,7.0,New Mexico,,,,,Martinez,Michael,Sellers,North Josephview,4829.0,64463.0,2352.0,Arizona,time,close,8288.0,9227.0,272.100.8392,Mr.,1.0,,8700.0,10700.0,,15.0,85.77904860721829,1.4183995383302297,74.0206213164709,2.6465803591511747,79.81876083857351,3650.334147965715
72,3979.0,New Zachary,Papua New Guinea,3.0,Utah,(607)692-2492x5604,91767 Joseph Way Apt. 948,Spanish,Timothy,Rollins,Crystal,Kelly,Ginafurt,8926.0,79856.0,3871.0,Louisiana,,fund,4718.0,7155.0,+1-601-492-6955x8888,Dr.,4.0,Mathis Group,1601.0,12451.0,1360.0,15.0,84.54317931695974,1.4636864057238315,89.3136981509952,4.459642336207516,,1004.6042697924489
73,1979.0,,,9.0,Maryland,,574 Brown Square Apt. 697,,Jennifer,Ortiz,Charles,,Wilsonton,1780.0,57186.0,7135.0,,simply,conference,3765.0,9366.0,(667)980-5444x36800,,7.0,Robinson-Church,1888.0,8073.0,,16.0,,2.9939724095287543,81.05102389305654,1.206447100745387,70.6822495309173,1524.0529158017862
